手机型号,手机品牌,是否gsm,是否cdma,网络类型,电池容量,电池拆卸,后置摄像,外观设计,是否触屏,操作系统,CPU性能,主屏尺寸,分辨率,是否有无线
samsung sgh-i997 infuse 4g,samsung,是,是,单卡双模,1750,是,800,直板,触屏,android,1228,4.5,384000,是
samsung sgh-t959,samsung,是,是,单卡双模,1500,是,500,直板,触屏,android,4024,4,384000,是
samyang gt-s5570 galaxy mini,samyang,是,是,单卡双模,1200,是,300,直板,触屏,android,600,3.14,76800,是
sony c2105 xperia l,sony,是,是,单卡双模,1700,是,800,直板,触屏,android,1024,4.3,409920,是
sony ericsson e15i xperia x8,sony,是,是,单卡双模,1200,是,320,直板,触屏,android,600,3,153600,是
sony ericsson e16i w8 walkman,sony,是,是,单卡双模,1200,是,320,直板,单触屏,android,600,3,153600,是
sony ericsson j220,sony,是,否,单卡单模,900,是,0,直板,否,嵌入式,150,1.5,16384,否
sony ericsson k750,sony,是,否,单卡单模,900,是,200,直板,否,嵌入式,150,1.5,38720,否
sony ericsson lt15i xperia arc,sony,是,是,单卡双模,1500,是,810,直板,触屏,android,1024,4.2,409920,是
sony ericsson lt18i xperia arc s,sony,是,是,单卡双模,1500,是,810,直板,触屏,android,1433,4.2,409920,是
sony ericsson lt26i xperia s,sony,是,是,单卡双模,1750,否,1200,直板,触屏,android,1536,4.3,921600,是
sony ericsson mt11i xperia neo v,sony,是,是,单卡双模,1500,是,500,直板,触屏,android,1024,3.7,409920,是
sony ericsson mt15i xperia neo,sony,是,是,单卡双模,1500,是,810,直板,触屏,android,1024,3.7,409920,是
sony ericsson r800i xperia play z1i,sony,是,是,单卡双模,1500,是,510,滑盖,触屏,android,1024,4,409920,是
sony ericsson sk17i xperia mini pro,sony,是,是,单卡双模,1200,是,500,滑盖,触屏,android,1024,3,153600,是
sony ericsson st15i xperia mini,sony,是,是,单卡双模,1200,是,500,直板,触屏,android,1024,3,153600,是
sony ericsson st18i xperia ray,sony,是,是,单卡双模,1500,是,810,直板,触屏,android,1024,3.3,409920,是
sony ericsson wt19i live with walkman,sony,是,是,单卡双模,1200,是,500,直板,触屏,android,1024,3.2,153600,是
sony ericsson x10a xperia,sony,是,是,单卡双模,1500,是,810,直板,触屏,android,1024,4,409920,是
sony l36h / c6602 xperia z,sony,是,是,单卡双模,2330,否,1310,直板,触屏,android,1536,5,2073600,是
